Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-05-28,Zombie Flesh Eaters,1979,https://letterboxd.com/malantonio/film/zombie-flesh-eaters/1/,3.5,Yes,"35mm, drive-in",2018-05-27
2018-05-28,Black Magic Part II,1976,https://letterboxd.com/malantonio/film/black-magic-part-ii/,2.5,,"35mm, drive-in",2018-05-28
2018-06-01,The Alphabet,1968,https://letterboxd.com/malantonio/film/the-alphabet/,4,Yes,"streaming, filmstruck",2018-05-31
2018-06-01,Altered States,1980,https://letterboxd.com/malantonio/film/altered-states/,3.5,Yes,"streaming, filmstruck",2018-05-31
2018-06-02,Halloween,1978,https://letterboxd.com/malantonio/film/halloween-1978/2/,4,Yes,"35mm, drive-in",2018-06-01
2018-06-02,Prince of Darkness,1987,https://letterboxd.com/malantonio/film/prince-of-darkness/,1.5,,"35mm, drive-in",2018-06-01
2018-06-03,Christine,1983,https://letterboxd.com/malantonio/film/christine-1983/,3,,"35mm, drive-in",2018-06-02
2018-06-03,In the Mouth of Madness,1994,https://letterboxd.com/malantonio/film/in-the-mouth-of-madness/,3,,"35mm, drive-in",2018-06-02
2018-06-04,Peeping Tom,1960,https://letterboxd.com/malantonio/film/peeping-tom/,3,,filmstruck,2018-06-03
2018-06-04,Enter the Dragon,1973,https://letterboxd.com/malantonio/film/enter-the-dragon/,3,,download,2018-06-03
2018-06-04,My Cousin Vinny,1992,https://letterboxd.com/malantonio/film/my-cousin-vinny/,4,Yes,dvd-rip,2018-06-03
2018-06-05,Boy Meets Girl,2015,https://letterboxd.com/malantonio/film/boy-meets-girl-2015/,3.5,,"streaming, hulu",2018-06-04
2018-06-08,Hereditary,2018,https://letterboxd.com/malantonio/film/hereditary/,5,,"digital, theater",2018-06-07
2018-06-10,The Room,2003,https://letterboxd.com/malantonio/film/the-room/,3,,download,2018-06-09
2018-06-11,Hereditary,2018,https://letterboxd.com/malantonio/film/hereditary/1/,5,Yes,"theater, digital",2018-06-10
2018-06-11,Police Story,1985,https://letterboxd.com/malantonio/film/police-story/,3,,"streaming, google play",2018-06-10
2018-06-11,The Disaster Artist,2017,https://letterboxd.com/malantonio/film/the-disaster-artist/,2,,,2018-06-10
2018-06-14,Upgrade,2018,https://letterboxd.com/malantonio/film/upgrade/,1.5,,"theater, digital",2018-06-13
2018-06-17,From Dusk Till Dawn,1996,https://letterboxd.com/malantonio/film/from-dusk-till-dawn/,2.5,,"35mm, drive-in",2018-06-16
2018-06-17,Near Dark,1987,https://letterboxd.com/malantonio/film/near-dark/,3.5,,"35mm, drive-in",2018-06-16
2018-06-20,2001: A Space Odyssey,1968,https://letterboxd.com/malantonio/film/2001-a-space-odyssey/,5,Yes,"70mm, theater",2018-06-19
2018-06-22,2001: A Space Odyssey,1968,https://letterboxd.com/malantonio/film/2001-a-space-odyssey/1/,5,Yes,"70mm, theater, coolidge corner",2018-06-21
2018-06-25,Dunkirk,2017,https://letterboxd.com/malantonio/film/dunkirk-2017/,3,,"streaming, hbo",2018-06-24
2018-07-02,Raiders of the Lost Ark,1981,https://letterboxd.com/malantonio/film/raiders-of-the-lost-ark/,5,Yes,"35mm, drive-in",2018-07-01
2018-07-05,A Serbian Film,2010,https://letterboxd.com/malantonio/film/a-serbian-film/,1.5,,download,2018-07-04
2018-07-05,The Purge,2013,https://letterboxd.com/malantonio/film/the-purge/1/,2,Yes,download,2018-07-04
2018-07-05,The Belko Experiment,2016,https://letterboxd.com/malantonio/film/the-belko-experiment/,3,,"streaming, hbo",2018-07-04
2018-07-06,The Asphalt Jungle,1950,https://letterboxd.com/malantonio/film/the-asphalt-jungle/,4.5,,"streaming, filmstruck, film noir",2018-07-05
2018-07-07,555,1988,https://letterboxd.com/malantonio/film/555-1988/,3,,"vhs, drive-in",2018-07-06
2018-07-07,Ozone,1995,https://letterboxd.com/malantonio/film/ozone/,2,,"vhs, drive-in",2018-07-06
2018-07-08,Hack-O-Lantern,1988,https://letterboxd.com/malantonio/film/hack-o-lantern/,3,,"vhs, drive-in",2018-07-07
2018-07-29,Backwoods Marcy,1999,https://letterboxd.com/malantonio/film/film:461606/,1.5,,"vhs, drive-in",2018-07-07
2018-07-09,The Slumber Party Massacre,1982,https://letterboxd.com/malantonio/film/the-slumber-party-massacre/,3,,download,2018-07-08
2018-07-10,The Fourth Kind,2009,https://letterboxd.com/malantonio/film/the-fourth-kind/,3,Yes,"streaming, amazon prime",2018-07-09
2018-07-10,Burroughs: The Movie,1983,https://letterboxd.com/malantonio/film/burroughs-the-movie/,3,,"streaming, filmstruck",2018-07-09
2018-07-12,Choke,2001,https://letterboxd.com/malantonio/film/choke-2001/,2,,dvd,2018-07-11
2018-07-15,Tourist Trap,1979,https://letterboxd.com/malantonio/film/tourist-trap/,3.5,,"streaming, the last drive-in, shudder",2018-07-14
2018-07-16,Sorry to Bother You,2018,https://letterboxd.com/malantonio/film/sorry-to-bother-you/,4,,"digital, theater",2018-07-15
