Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-10-29,Cemetery Man,1994,https://letterboxd.com/malantonio/film/cemetery-man/1/,3.5,"35mm, theater, exhumed films",2017-10-28
2017-10-29,Without Warning,1980,https://letterboxd.com/malantonio/film/without-warning-1980/,3.5,"theater, 35mm, exhumed films",2017-10-28
2017-10-29,Satan's School For Girls,1973,https://letterboxd.com/malantonio/film/satans-school-for-girls/,3,"35mm, theater, exhumed films",2017-10-29
2017-10-29,"I, Madman",1989,https://letterboxd.com/malantonio/film/i-madman/,3,"35mm, theater, exhumed films",2017-10-29
2017-10-30,Scooby-Doo! and the Witch's Ghost,1999,https://letterboxd.com/malantonio/film/scooby-doo-and-the-witchs-ghost/,3,vhs,2017-10-29
2017-11-02,The Shining,1980,https://letterboxd.com/malantonio/film/the-shining/2/,5,"theater, digital",2017-11-01
2017-11-04,Motel Hell,1980,https://letterboxd.com/malantonio/film/motel-hell/,3.5,"streaming, amazon",2017-11-03
2017-11-04,My Name Is Sarah,2007,https://letterboxd.com/malantonio/film/my-name-is-sarah/,4.5,"download, lifetime",2017-11-03
2017-11-16,Alien³,1992,https://letterboxd.com/malantonio/film/alien-3/1/,3.5,vhs,2017-11-14
2017-11-20,Face/Off,1997,https://letterboxd.com/malantonio/film/face-off/,3,"streaming, google play",2017-11-19
2017-11-20,Good Time,2017,https://letterboxd.com/malantonio/film/good-time/,4,"streaming, amazon",2017-11-19
2017-11-22,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,https://letterboxd.com/malantonio/film/jim-andy-the-great-beyond/,2.5,"netflix, streaming",2017-11-21
2017-11-22,Joan Didion: The Center Will Not Hold,2017,https://letterboxd.com/malantonio/film/joan-didion-the-center-will-not-hold/,4,"streaming, netflix",2017-11-21
2017-11-26,Targets,1968,https://letterboxd.com/malantonio/film/targets/,4.5,"streaming, amazon",2017-11-25
2017-12-02,Species,1995,https://letterboxd.com/malantonio/film/species/,3,"streaming, hbo",2017-12-01
2017-12-03,Blade Runner 2049,2017,https://letterboxd.com/malantonio/film/blade-runner-2049/,4.5,"theater, digital",2017-12-02
2017-12-03,Fateful Findings,2013,https://letterboxd.com/malantonio/film/fateful-findings/4/,4,"streaming, amazon",2017-12-02
2017-12-03,Birdemic: Shock and Terror,2010,https://letterboxd.com/malantonio/film/birdemic-shock-and-terror/,3.5,"streaming, amazon",2017-12-02
2017-12-09,Gaslight,1944,https://letterboxd.com/malantonio/film/gaslight-1944/,4.5,"amazon, streaming",2017-12-08
2017-12-10,"Silent Night, Deadly Night",1984,https://letterboxd.com/malantonio/film/silent-night-deadly-night/,3,"streaming, google play",2017-12-09
2017-12-13,Black Christmas,1974,https://letterboxd.com/malantonio/film/black-christmas/,4,"streaming, shudder",2017-12-12
2017-12-16,Home Alone,1990,https://letterboxd.com/malantonio/film/home-alone/,4,vhs,2017-12-16
2017-12-18,Sun Don't Shine,2012,https://letterboxd.com/malantonio/film/sun-dont-shine/,4,"streaming, shudder",2017-12-17
2017-12-19,What Time Is It There?,2001,https://letterboxd.com/malantonio/film/what-time-is-it-there/,5,download,2017-12-18
2017-12-23,It's a Wonderful Life,1946,https://letterboxd.com/malantonio/film/its-a-wonderful-life/,3.5,"streaming, amazon",2017-12-23
