Date,Name,Year,Letterboxd URI,Rating
2016-02-21,Funeral Parade of Roses,1969,https://letterboxd.com/film/funeral-parade-of-roses/,5
2016-02-21,Teen Witch,1989,https://letterboxd.com/film/teen-witch/,4
2016-02-24,Double Indemnity,1944,https://letterboxd.com/film/double-indemnity/,5
2016-03-05,The Martian,2015,https://letterboxd.com/film/the-martian/,3.5
2016-03-19,The Godfather,1972,https://letterboxd.com/film/the-godfather/,5
2016-03-20,The Barkley Marathons: The Race That Eats Its Young,2014,https://letterboxd.com/film/the-barkley-marathons-the-race-that-eats-its-young/,4
2016-03-26,2 Fast 2 Furious,2003,https://letterboxd.com/film/2-fast-2-furious/,4
2016-03-31,Major League,1989,https://letterboxd.com/film/major-league/,4
2016-04-10,Maximum Overdrive,1986,https://letterboxd.com/film/maximum-overdrive/,2
2016-04-10,Hannibal Buress: Hannibal Takes Edinburgh,2016,https://letterboxd.com/film/hannibal-buress-hannibal-takes-edinburgh/,4
2016-04-23,Billy Elliot,2000,https://letterboxd.com/film/billy-elliot/,3.5
2016-04-24,The Fisher King,1991,https://letterboxd.com/film/the-fisher-king/,3
2016-04-30,"Ladies and Gentlemen, the Fabulous Stains",1982,https://letterboxd.com/film/ladies-and-gentlemen-the-fabulous-stains/,4
2016-05-03,Jurassic World,2015,https://letterboxd.com/film/jurassic-world/,2
2016-05-08,The Butterfly Effect 2,2006,https://letterboxd.com/film/the-butterfly-effect-2/,1.5
2016-05-11,Fateful Findings,2013,https://letterboxd.com/film/fateful-findings/,4
2016-05-14,Basic Instinct,1992,https://letterboxd.com/film/basic-instinct/,2
2016-05-16,Loose Change: Final Cut,2007,https://letterboxd.com/film/loose-change-final-cut/,3
2016-05-17,The Sandlot,1993,https://letterboxd.com/film/the-sandlot/,5
2016-05-21,The Craft,1996,https://letterboxd.com/film/the-craft/,4.5
2016-05-22,Swamp Thing,1982,https://letterboxd.com/film/swamp-thing/,2
2016-05-22,Natural Born Killers,1994,https://letterboxd.com/film/natural-born-killers/,3
2016-05-23,The Witch,2015,https://letterboxd.com/film/the-witch-2015/,4.5
2016-06-26,Howard the Duck,1986,https://letterboxd.com/film/howard-the-duck/,2.5
2016-06-26,Death Metal Angola,2014,https://letterboxd.com/film/death-metal-angola/,3.5
2016-06-27,Hearts of Darkness: A Filmmaker's Apocalypse,1991,https://letterboxd.com/film/hearts-of-darkness-a-filmmakers-apocalypse/,3.5
2016-07-11,Hush,2016,https://letterboxd.com/film/hush-2016/,3
2016-07-18,The Big Short,2015,https://letterboxd.com/film/the-big-short/,4
2016-07-24,Predator,1987,https://letterboxd.com/film/predator/,4
2016-07-30,The Usual Suspects,1995,https://letterboxd.com/film/the-usual-suspects/,3.5
2016-07-30,Pass Thru,2016,https://letterboxd.com/film/pass-thru/,4
2016-08-01,It! The Terror from Beyond Space,1958,https://letterboxd.com/film/it-the-terror-from-beyond-space/,3
2016-08-01,Alien,1979,https://letterboxd.com/film/alien/,4.5
2016-08-08,Jurassic Park,1993,https://letterboxd.com/film/jurassic-park/,4
2016-08-08,Jaws,1975,https://letterboxd.com/film/jaws/,4
2016-08-14,Hitchcock/Truffaut,2015,https://letterboxd.com/film/hitchcock-truffaut/,4
2016-08-15,Sting: Moment of Truth,2004,https://letterboxd.com/film/sting-moment-of-truth/,2
2016-08-20,Friday the 13th,1980,https://letterboxd.com/film/friday-the-13th/,4
