Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2016-02-12,The Passenger,1975,https://letterboxd.com/malantonio/film/the-passenger/,5,Yes,dvd,2016-02-11
2016-02-12,"Hail, Caesar!",2016,https://letterboxd.com/malantonio/film/hail-caesar-2016/,3.5,,"theater, digital",2016-02-11
2016-02-15,Irrational Man,2015,https://letterboxd.com/malantonio/film/irrational-man/,2.5,,"blu-ray, library, movie club",2016-02-13
2016-02-21,Funeral Parade of Roses,1969,https://letterboxd.com/malantonio/film/funeral-parade-of-roses/,4,,download,2016-02-20
2016-02-21,Teen Witch,1989,https://letterboxd.com/malantonio/film/teen-witch/,4,,streaming,2016-02-20
2016-02-24,Double Indemnity,1944,https://letterboxd.com/malantonio/film/double-indemnity/,4,,"dvd, film noir, movie club",2016-02-22
2016-03-05,The Martian,2015,https://letterboxd.com/malantonio/film/the-martian/,3.5,,"dvd, library",2016-03-04
2016-03-19,The Godfather,1972,https://letterboxd.com/malantonio/film/the-godfather/,5,,blu-ray,2016-03-18
2016-03-20,The Barkley Marathons: The Race That Eats Its Young,2014,https://letterboxd.com/malantonio/film/the-barkley-marathons-the-race-that-eats-its-young/,4,,"netflix, streaming",2016-03-19
2016-03-26,2 Fast 2 Furious,2003,https://letterboxd.com/malantonio/film/2-fast-2-furious/,4,,"streaming, netflix",2016-03-25
2016-03-31,Major League,1989,https://letterboxd.com/malantonio/film/major-league/,4,,"streaming, netflix",2016-03-30
2016-04-10,Maximum Overdrive,1986,https://letterboxd.com/malantonio/film/maximum-overdrive/,2,,"amazon, streaming",2016-04-09
2016-04-10,Hannibal Buress: Hannibal Takes Edinburgh,2016,https://letterboxd.com/malantonio/film/hannibal-buress-hannibal-takes-edinburgh/,4,,"netflix, streaming",2016-04-09
2016-04-23,Billy Elliot,2000,https://letterboxd.com/malantonio/film/billy-elliot/,3.5,,"dvd, movie club",2016-04-22
2016-04-24,The Fisher King,1991,https://letterboxd.com/malantonio/film/the-fisher-king/,3,,"dvd, movie club",2016-04-23
2016-04-25,Going Clear: Scientology and the Prison of Belief,2015,https://letterboxd.com/malantonio/film/going-clear-scientology-and-the-prison-of-belief/1/,4,Yes,"hbo, streaming",2016-04-24
2016-04-30,"Ladies and Gentlemen, the Fabulous Stains",1982,https://letterboxd.com/malantonio/film/ladies-and-gentlemen-the-fabulous-stains/,4,,"amazon, streaming",2016-04-29
2016-05-03,Jurassic World,2015,https://letterboxd.com/malantonio/film/jurassic-world/,2,,"hbo, streaming",2016-05-02
2016-05-08,The Butterfly Effect 2,2006,https://letterboxd.com/malantonio/film/the-butterfly-effect-2/,1.5,,"streaming, hbo",2016-05-07
2016-05-11,Fateful Findings,2013,https://letterboxd.com/malantonio/film/fateful-findings/,4,,"streaming, youtube",2016-05-10
2016-05-14,Basic Instinct,1992,https://letterboxd.com/malantonio/film/basic-instinct/,2,,dvd,2016-05-13
2016-05-16,Loose Change: Final Cut,2007,https://letterboxd.com/malantonio/film/loose-change-final-cut/,3,,"streaming, youtube",2016-05-15
2016-05-17,The Sandlot,1993,https://letterboxd.com/malantonio/film/the-sandlot/,5,,"streaming, netflix",2016-05-16
2016-05-21,The Craft,1996,https://letterboxd.com/malantonio/film/the-craft/,4.5,Yes,"35mm, theater",2016-05-20
2016-05-22,Swamp Thing,1982,https://letterboxd.com/malantonio/film/swamp-thing/,2,,blu-ray,2016-05-21
2016-05-22,Natural Born Killers,1994,https://letterboxd.com/malantonio/film/natural-born-killers/,3,Yes,dvd,2016-05-21
2016-05-23,The Witch,2015,https://letterboxd.com/malantonio/film/the-witch-2015/,4,,"dvd, redbox, rental",2016-05-22
2016-06-26,Howard the Duck,1986,https://letterboxd.com/malantonio/film/howard-the-duck/,3,,"dvd, movie club",2016-06-25
2016-06-26,Death Metal Angola,2014,https://letterboxd.com/malantonio/film/death-metal-angola/,3.5,,"streaming, youtube",2016-06-25
2016-06-27,Hearts of Darkness: A Filmmaker's Apocalypse,1991,https://letterboxd.com/malantonio/film/hearts-of-darkness-a-filmmakers-apocalypse/,3.5,,download,2016-06-26
2016-07-07,Fateful Findings,2013,https://letterboxd.com/malantonio/film/fateful-findings/1/,4,Yes,,2016-07-02
2016-07-11,Hush,2016,https://letterboxd.com/malantonio/film/hush-2016/,3,,"streaming, netflix",2016-07-10
2016-07-18,The Big Short,2015,https://letterboxd.com/malantonio/film/the-big-short/,4,,"netflix, streaming",2016-07-17
2016-07-24,Predator,1987,https://letterboxd.com/malantonio/film/predator/,4,Yes,"digital, theater",2016-07-22
2016-07-30,The Usual Suspects,1995,https://letterboxd.com/malantonio/film/the-usual-suspects/,3.5,,streaming,2016-07-29
2016-07-30,Pass Thru,2016,https://letterboxd.com/malantonio/film/pass-thru/,4,,"theater, blu-ray",2016-07-29
2016-07-31,Halloween,1978,https://letterboxd.com/malantonio/film/halloween-1978/1/,4,Yes,dvd,2016-07-30
2016-08-01,It! The Terror from Beyond Space,1958,https://letterboxd.com/malantonio/film/it-the-terror-from-beyond-space/,3,,"blu-ray, theater",2016-07-31
2016-08-01,Alien,1979,https://letterboxd.com/malantonio/film/alien/,4,Yes,"theater, digital",2016-07-31
2016-08-08,Jurassic Park,1993,https://letterboxd.com/malantonio/film/jurassic-park/,4,Yes,"35mm, drive-in",2016-08-07
2016-08-08,Jaws,1975,https://letterboxd.com/malantonio/film/jaws/,3.5,Yes,"digital, drive-in",2016-08-07
2016-08-14,Hitchcock/Truffaut,2015,https://letterboxd.com/malantonio/film/hitchcock-truffaut/,4,,"streaming, hbo",2016-08-13
2016-08-15,Sting: Moment of Truth,2004,https://letterboxd.com/malantonio/film/sting-moment-of-truth/,2,,"streaming, youtube",2016-08-14
2016-08-16,Howard the Duck,1986,https://letterboxd.com/malantonio/film/howard-the-duck/1/,2.5,Yes,,2016-08-15
2016-08-20,Friday the 13th,1980,https://letterboxd.com/malantonio/film/friday-the-13th/,4,Yes,dvd,2016-08-19
2016-08-21,The Craft,1996,https://letterboxd.com/malantonio/film/the-craft/1/,4.5,Yes,dvd,2016-08-20
