Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-06-20,2001: A Space Odyssey,1968,https://letterboxd.com/malantonio/film/2001-a-space-odyssey/,5,Yes,fulfilled a life goal of seeing this on 70mm. you really notice the difference with the effects work. the sound was also maybe a notch too high which was perfect for the most part (some parts of BEYOND THE INFINITE had some distortion). ,"70mm, theater",2018-06-19
2018-06-22,2001: A Space Odyssey,1968,https://letterboxd.com/malantonio/film/2001-a-space-odyssey/1/,5,Yes,"seeing this with an actual intermission, the scenes following could be drawn out a bit more. ","70mm, theater, coolidge corner",2018-06-21
2018-06-25,Dunkirk,2017,https://letterboxd.com/malantonio/film/dunkirk-2017/,3,,i really messed up by not seeing this in a theater,"streaming, hbo",2018-06-24
2018-07-02,Raiders of the Lost Ark,1981,https://letterboxd.com/malantonio/film/raiders-of-the-lost-ark/,5,Yes,somehow i remembered indy being double-crossed a whole lot.,"35mm, drive-in",2018-07-01
2018-07-05,A Serbian Film,2010,https://letterboxd.com/malantonio/film/a-serbian-film/,1.5,,"yep, it's as bleak/vile/fucked as you've heard. i wasn't expecting it to look as slick as it does. ",download,2018-07-04
2018-07-05,The Purge,2013,https://letterboxd.com/malantonio/film/the-purge/1/,2,Yes,"completely forgot i watched this a year ago. it's still ""meh"". ",download,2018-07-04
2018-07-05,The Belko Experiment,2016,https://letterboxd.com/malantonio/film/the-belko-experiment/,3,,"of course i missed 10 minutes in the middle when things go down, but i still found it enjoyable and darkly fun. kind of reminded me of CABIN IN THE WOODS?","streaming, hbo",2018-07-04
2018-07-06,The Asphalt Jungle,1950,https://letterboxd.com/malantonio/film/the-asphalt-jungle/,4.5,,"everything's firing on all cylinders. sterling hayden, good lord. if i have a complaint, it's that it keeps going, but i'm hard-pressed to think of what could go. the last 15-20 minutes are heart-breaking. is john huston just the best at doing noir flicks?","streaming, filmstruck, film noir",2018-07-05
2018-07-07,555,1988,https://letterboxd.com/malantonio/film/555-1988/,3,,half of this movie takes place in lighting so low that it's impossible to see anything. it's also a procedural? the acting is community theater level but that's the charm. ,"vhs, drive-in",2018-07-06
2018-07-07,Ozone,1995,https://letterboxd.com/malantonio/film/ozone/,2,,"the physical effects are shockingly good. and there's a great ""achy-breaky heart"" parody.","vhs, drive-in",2018-07-06
