Date,Name,Year,Letterboxd URI
2017-07-22,Land of the Dead,2005,https://letterboxd.com/film/land-of-the-dead/
2017-07-22,The Crazies,1973,https://letterboxd.com/film/the-crazies/
2017-07-22,Mildred Pierce,2011,https://letterboxd.com/film/mildred-pierce-2011/
2017-07-22,Shock Treatment,1981,https://letterboxd.com/film/shock-treatment/
2017-07-28,The Lost Boys,1987,https://letterboxd.com/film/the-lost-boys/
2017-07-28,Children Shouldn't Play with Dead Things,1972,https://letterboxd.com/film/children-shouldnt-play-with-dead-things/
2017-07-28,One Dark Night,1982,https://letterboxd.com/film/one-dark-night/
2017-07-28,Two Evil Eyes,1990,https://letterboxd.com/film/two-evil-eyes/
2017-07-28,The Beyond,1981,https://letterboxd.com/film/the-beyond/
2017-07-29,I Eat Your Skin,1971,https://letterboxd.com/film/i-eat-your-skin/
2017-07-29,Horror Express,1972,https://letterboxd.com/film/horror-express/
2017-07-29,Circus of Fear,1966,https://letterboxd.com/film/circus-of-fear/
2017-07-29,The Hills Have Eyes Part 2,1984,https://letterboxd.com/film/the-hills-have-eyes-part-2/
2017-07-29,The Children,1980,https://letterboxd.com/film/the-children-1980/
2017-07-29,Shock Waves,1977,https://letterboxd.com/film/shock-waves/
2017-07-29,Piranha,1978,https://letterboxd.com/film/piranha/
2017-07-29,Planet of the Apes,1968,https://letterboxd.com/film/planet-of-the-apes/
2017-07-29,Beneath the Planet of the Apes,1970,https://letterboxd.com/film/beneath-the-planet-of-the-apes/
2017-07-29,Escape from the Planet of the Apes,1971,https://letterboxd.com/film/escape-from-the-planet-of-the-apes/
2017-07-29,Conquest of the Planet of the Apes,1972,https://letterboxd.com/film/conquest-of-the-planet-of-the-apes/
2017-07-29,Battle for the Planet of the Apes,1973,https://letterboxd.com/film/battle-for-the-planet-of-the-apes/
2017-07-29,Devil Girl from Mars,1954,https://letterboxd.com/film/devil-girl-from-mars/
2017-07-29,Trog,1970,https://letterboxd.com/film/trog/
2017-08-07,Effects,1980,https://letterboxd.com/film/effects/
2017-08-08,"Elvira, Mistress of the Dark",1988,https://letterboxd.com/film/elvira-mistress-of-the-dark/
2017-08-09,The Wolf Man,1941,https://letterboxd.com/film/the-wolf-man-1941/
2017-08-09,The Mummy,1932,https://letterboxd.com/film/the-mummy/
2017-08-09,The Invisible Man,1933,https://letterboxd.com/film/the-invisible-man/
2017-08-09,Klute,1971,https://letterboxd.com/film/klute/
2017-08-09,"They Shoot Horses, Don't They?",1969,https://letterboxd.com/film/they-shoot-horses-dont-they/
2017-08-13,Nocturama,2016,https://letterboxd.com/film/nocturama/
2017-08-15,8½,1963,https://letterboxd.com/film/8-half/
2017-08-19,Kidnapped,1987,https://letterboxd.com/film/kidnapped-1987/
2017-08-19,Graveyard Shift,1987,https://letterboxd.com/film/graveyard-shift-1987/
2017-08-19,Cassandra,1987,https://letterboxd.com/film/cassandra/
2017-08-24,The Station Agent,2003,https://letterboxd.com/film/the-station-agent/
2017-08-27,Blind Fury,1989,https://letterboxd.com/film/blind-fury/
2017-08-30,Brick,2005,https://letterboxd.com/film/brick/
2017-08-30,Prisoners,2013,https://letterboxd.com/film/prisoners/
2017-08-30,Demolition,2015,https://letterboxd.com/film/demolition/
2017-08-31,Cujo,1983,https://letterboxd.com/film/cujo/
2017-08-31,The House of the Devil,2009,https://letterboxd.com/film/the-house-of-the-devil/
2017-08-31,The Howling,1981,https://letterboxd.com/film/the-howling/
2017-08-31,Popcorn,1991,https://letterboxd.com/film/popcorn/
2017-08-31,Red Christmas,2016,https://letterboxd.com/film/red-christmas/
2017-08-31,Downsizing,2017,https://letterboxd.com/film/downsizing/
2017-09-01,The Spectacular Now,2013,https://letterboxd.com/film/the-spectacular-now/
2017-09-01,A Ghost Story,2017,https://letterboxd.com/film/a-ghost-story-2017/
2017-09-01,The Monster,2016,https://letterboxd.com/film/the-monster-2016/
2017-09-01,Swiss Army Man,2016,https://letterboxd.com/film/swiss-army-man/
2017-09-01,The End of the Tour,2015,https://letterboxd.com/film/the-end-of-the-tour/
2017-09-01,Amy,2015,https://letterboxd.com/film/amy-2015/
2017-09-01,Lucky,2017,https://letterboxd.com/film/lucky-2017/
2017-09-03,Inferno,1980,https://letterboxd.com/film/inferno-1980/
2017-09-06,Hatchet for the Honeymoon,1970,https://letterboxd.com/film/hatchet-for-the-honeymoon/
2017-09-06,Baron Blood,1972,https://letterboxd.com/film/baron-blood/
2017-09-06,"Kill Baby, Kill",1966,https://letterboxd.com/film/kill-baby-kill/
2017-09-06,The Girl Who Knew Too Much,1963,https://letterboxd.com/film/the-girl-who-knew-too-much/
2017-09-06,Les Hautes Solitudes,1974,https://letterboxd.com/film/les-hautes-solitudes/
2017-09-09,Cradle 2 the Grave,2003,https://letterboxd.com/film/cradle-2-the-grave/
2017-09-09,Exit Wounds,2001,https://letterboxd.com/film/exit-wounds/
2017-09-14,Bloody Wednesday,1987,https://letterboxd.com/film/bloody-wednesday/
2017-09-21,General Idi Amin Dada,1974,https://letterboxd.com/film/general-idi-amin-dada/
2017-09-22,Vanishing Point,1971,https://letterboxd.com/film/vanishing-point/
2017-10-07,The Kentucky Fried Movie,1977,https://letterboxd.com/film/the-kentucky-fried-movie/
2017-10-08,Baghead,2008,https://letterboxd.com/film/baghead/
2017-10-09,Shelley,2016,https://letterboxd.com/film/shelley/
2017-10-10,Carol,2015,https://letterboxd.com/film/carol-2015/
